Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Haberman,43,Features <= 10,2.7778,Low,3,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.3591 ± 0.0466,0.2978 ± 0.1146,0.2909 ± 0.0074,0.4753 ± 0.0690
Haberman,43,Features <= 10,2.7778,Low,3,DT,BSSMOTE w/o SVM,w/o SVM,--,0.3426 ± 0.0553,0.4926 ± 0.1166,0.3075 ± 0.0373,0.5664 ± 0.0600
Haberman,43,Features <= 10,2.7778,Low,3,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.3584 ± 0.0600,0.5059 ± 0.1177,0.3142 ± 0.0358,0.5769 ± 0.0522
Haberman,43,Features <= 10,2.7778,Low,3,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3373 ± 0.0361,0.4809 ± 0.0976,0.3015 ± 0.0256,0.5608 ± 0.0442
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4374 ± 0.1165,0.5037 ± 0.1244,0.4910 ± 0.0977,0.6179 ± 0.0924
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4243 ± 0.1170,0.5037 ± 0.1320,0.4706 ± 0.0764,0.6124 ± 0.0984
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.3921 ± 0.1191,0.2581 ± 0.0595,0.3829 ± 0.0771,0.4675 ± 0.0614
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.3805 ± 0.1250,0.3066 ± 0.1225,0.3901 ± 0.0741,0.4958 ± 0.1064
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.4138 ± 0.0553,0.6412 ± 0.1301,0.4654 ± 0.0517,0.6506 ± 0.0553
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4484 ± 0.1283,0.5287 ± 0.1118,0.4935 ± 0.0921,0.6324 ± 0.0906
Haberman,43,Features <= 10,2.7778,Low,3,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.4399 ± 0.1137,0.5037 ± 0.1526,0.4619 ± 0.0965,0.6173 ± 0.1052
